SYMBOL	s_629	s_784	s_951	s_626	s_783	s_957	s_627	s_781	s_948
HSD17B6	0.777006001	0.82353944	0.755252663	0.576716153	0.544281037	0.501562223	0.521911593	0.50781327	0.618818862
HYMAI	0.36407418	0.301641337	0.648694302	0.234427602	0.319168711	0.203788936	0.340333534	0.318025269	0.086352078
IFNK	-0.489178391	-0.397949012	-0.438957236	-0.383146356	-0.452248494	-0.372437358	-0.402559575	-0.424686818	-0.463489728
IL12RB2	1.087558975	1.053152116	1.194154064	0.954700025	1.122869559	0.935705659	1.14144413	1.007681455	1.053843407
KCNQ4	-0.140590607	-0.200161055	-0.089053506	-0.084615658	-0.067147852	-0.044072498	-0.144518816	-0.102416173	-0.236599077
KCNS1	-0.273020753	-0.230334427	-0.352513	-0.223957354	-0.289311702	-0.194542644	-0.281382984	-0.258714961	-0.231305447
KIR3DL2	-0.598522511	-0.552418433	-0.477891678	-0.48447842	-0.60904846	-0.608642304	-0.608426547	-0.529960585	-0.604893496
KLC3	0.009099136	0.192216048	0.134520883	0.100581279	0.123599036	0.166167363	0.391198256	0.185063586	0.200190425
KLHDC9	0.203761389	0.17365451	0.498394515	0.219821532	0.190178169	-0.075158556	0.19801788	0.257768123	0.198364843
KLRC1	0.279843947	0.147761953	0.242822016	0.162096001	0.290181582	0.218288247	0.244747153	0.248743567	0.225576839
LBX2	-0.216608793	-0.264020411	-0.256443838	-0.212756885	-0.21144072	-0.232124384	-0.340358982	-0.294263528	-0.281156437
LDHAL6A	-0.149268309	0.075820865	-0.131218677	-0.094623056	-0.187269479	-0.006501089	-0.047247459	-0.17969021	-0.153419059
LHFPL4	0.38026399	0.402460532	0.300042913	0.272658049	0.325546179	0.428665975	0.359724458	0.284639786	0.28393761
LRRC17	0.580357429	0.450318882	0.508064483	0.429862688	0.464354639	0.447076274	0.448991271	0.544537867	0.504070632
LRRC8E	0.634366057	0.500311808	0.65369758	0.642748076	0.888044914	0.52905618	0.627897986	0.516655397	0.722258359
LRRTM2	0.789051472	0.733292853	0.530115353	0.403960615	0.58582965	0.61286354	0.544773458	0.418663041	0.594806652
LZTS1	-0.298298019	-0.315486218	-0.241042179	-0.290552992	-0.379095486	-0.388869189	-0.425076139	-0.319345445	-0.384015782
MAPK8IP1	1.162514067	1.017047881	0.858717194	0.722225065	0.874300536	0.933858451	0.825740943	0.819131658	0.91790443
MAST1	-0.269746466	-0.187950803	-0.238034121	-0.253584403	-0.323489503	-0.183962718	-0.27906075	-0.290951313	-0.38039478
MESP1	0.134514661	0.180983851	0.189832891	0.187485938	0.167658698	0.226521563	0.130620679	0.103978729	0.036266824
MFAP4	-0.325389744	-0.213173803	-0.178750941	-0.2725524	-0.347922231	-0.32499193	-0.226117965	-0.262964075	-0.320317238
MT1L	0.550467471	0.568732908	0.837136721	0.392270476	0.502906828	0.321106727	0.630002023	0.501100233	0.414496521
MYBPC2	-0.103218994	-0.20371257	-0.20573634	-0.204184345	-0.148848638	-0.180348442	-0.228357584	-0.183199715	-0.149676141
